date,year,decade,home_team,away_team,home_team_code,away_team_code,home_score,away_score,match_result,matchday_name,round,type,match_attendance,stadium_country_code,stadium_capacity
1963-10-26,1963,1960,France,Bulgaria,FRA,BUL,3.0,1.0,H,2,ROUND_OF_16,SECOND_LEG,32233.0,FRA,47926.0
1963-10-30,1963,1960,Albania,Denmark,ALB,DEN,1.0,0.0,H,2,ROUND_OF_16,SECOND_LEG,27765.0,ALB,16147.0
1963-10-30,1963,1960,Luxembourg,Netherlands,LUX,NED,2.0,1.0,H,2,ROUND_OF_16,SECOND_LEG,42385.0,NED,48100.0
1963-10-30,1963,1960,Northern Ireland,Spain,NIR,ESP,0.0,1.0,A,2,ROUND_OF_16,SECOND_LEG,45809.0,NIR,18434.0
1963-11-03,1963,1960,Hungary,German Dem. Rep.,HUN,GDR,3.0,3.0,D,2,ROUND_OF_16,SECOND_LEG,35382.0,HUN,25311.0
1963-11-10,1963,1960,Italy,USSR,ITA,URS,1.0,1.0,D,2,ROUND_OF_16,SECOND_LEG,69567.0,ITA,69689.0
1963-12-04,1963,1960,Luxembourg,Denmark,LUX,DEN,3.0,3.0,D,1,QUARTER_FINALS,FIRST_LEG,6921.0,LUX,8022.0
1963-12-10,1963,1960,Denmark,Luxembourg,DEN,LUX,2.0,2.0,D,2,QUARTER_FINALS,SECOND_LEG,36294.0,DEN,38052.0
1963-12-18,1963,1960,Denmark,Luxembourg,DEN,LUX,1.0,0.0,H,1,QUARTER_FINALS,REPLAY,5700.0,NED,0.0
1964-03-11,1964,1960,Spain,Republic of Ireland,ESP,IRL,5.0,1.0,H,1,QUARTER_FINALS,FIRST_LEG,27137.0,ESP,43883.0
1964-04-08,1964,1960,Republic of Ireland,Spain,IRL,ESP,0.0,2.0,A,2,QUARTER_FINALS,SECOND_LEG,38027.0,IRL,2740.0
1964-04-25,1964,1960,France,Hungary,FRA,HUN,1.0,3.0,A,1,QUARTER_FINALS,FIRST_LEG,35274.0,FRA,0.0
1964-05-13,1964,1960,Sweden,USSR,SWE,URS,1.0,1.0,D,1,QUARTER_FINALS,FIRST_LEG,36937.0,SWE,35572.0
1964-05-23,1964,1960,Hungary,France,HUN,FRA,2.0,1.0,H,2,QUARTER_FINALS,SECOND_LEG,70120.0,HUN,25311.0
1964-05-27,1964,1960,USSR,Sweden,URS,SWE,3.0,1.0,H,2,QUARTER_FINALS,SECOND_LEG,99609.0,RUS,81015.0
1966-09-07,1966,1960,Netherlands,Hungary,NED,HUN,2.0,2.0,D,1,PRELIMINARY,GROUP_STAGE,62100.0,NED,48100.0
1966-09-21,1966,1960,Hungary,Denmark,HUN,DEN,6.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,18487.0,HUN,25311.0
1966-10-02,1966,1960,Poland,Luxembourg,POL,LUX,4.0,0.0,H,1,PRELIMINARY,GROUP_STAGE,10840.0,POL,21163.0
1966-10-02,1966,1960,Finland,Austria,FIN,AUT,0.0,0.0,D,1,PRELIMINARY,GROUP_STAGE,10070.0,FIN,36251.0
1966-10-16,1966,1960,Greece,Finland,GRE,FIN,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,27952.0,GRE,28172.0
1966-10-22,1966,1960,Wales,Scotland,WAL,SCO,1.0,1.0,D,1,PRELIMINARY,GROUP_STAGE,33269.0,WAL,12891.0
1966-10-22,1966,1960,France,Poland,FRA,POL,2.0,1.0,H,1,PRELIMINARY,GROUP_STAGE,23524.0,FRA,47926.0
1966-10-22,1966,1960,Northern Ireland,England,NIR,ENG,0.0,2.0,A,1,PRELIMINARY,GROUP_STAGE,47897.0,NIR,18434.0
